번호,카테고리,질문,답변
98,인증,휴대폰 번호가 변경되어 본인확인이 안 됩니다.,"쿠팡에 등록된 휴대폰 번호로만 본인확인을 할 수 있습니다. 휴대폰 번호가 변경된 경우, 다음의 방법으로 진행 부탁드립니다.
 • 이메일로 본인 확인 후 로그인하여 휴대폰 번호를 변경합니다.
• 이메일로 본인 확인이 불가하다면 쿠팡 고객센터(1577-7011)로 연락하여 휴대폰 번호를 변경한 후 다시 본인확인을 진행합니다."
99,배송일정,배송 날짜와 시간을 지정할 수 있나요?,"아니요. 배송은 상품재고, 배송준비시간, 배송경로, 배송물량 등 다양한 요소에 따라 배송 방문시간이 달라지기에 배송 날짜와 시간을 지정할 수 없습니다. 
 • 단, 로켓배송 상품의 경우, 배송 날짜만 주문/결제 시 지정할 수 있습니다.
• 각 상품별 상세페이지의 배송일정을 참고 부탁드립니다. 
 배송현황 확인하기
마이쿠팡 → 주문목록 → 상품선택 → 배송조회"
100,상품평,상품평 랭킹은 무엇인가요?,"상품평 활동을 하는 모든 고객에게 활동량에 따라 점수가 부여되며, 이 점수를 주기적으로 환산하여 랭킹에 반영합니다. 개인 점수와 랭킹은 [마이쿠팡 → 리뷰관리]에서 확인하실 수 있습니다.
 리뷰어 점수 산정 방법
• 상세하고 진솔한 상품평을 작성하면 결과물에 합당한 점수가 부여됩니다.
• 명확한 상품 사진을 첨부하면 추가 점수가 부여됩니다.
• 그 외 상품평과 관련된 활동을 꾸준하고 정직하게 하면 점수가 부여됩니다. 
 리뷰어 랭킹 산정 방법
• 주기적으로 최신 점수가 반영된 랭킹을 산정합니다. 
• 부당한 방법으로 취득한 점수는 차감되고 랭킹에 반영됩니다.
 TOP 리뷰어 혜택
• 상위권 TOP 리뷰어에게는 배지(badge)가 부여됩니다.
• 모범적인 활동을 보여준 리뷰어에게는 쿠팡체험단 초대 등의 혜택이 주어질 수도 있습니다. 
• 단기간에 양질의 상품평을 작성하는 급상승 리뷰어에게도 혜택을 드립니다. 
 점수 및 랭킹 유의사항
• 리뷰어 점수 및 랭킹은 본인만 확인할 수 있으며, TOP 리뷰어 순위는 상품평 라운지를 통해 확인이 가능합니다.
• 직접 작성한 상품평이 아니거나 내용이 부적절할 경우 점수에 반영되지 않습니다.
• 정당하지 않은 방식으로 상승시키면 내부 기준에 따라 차감 조치 후 활동이 제한될 수 있습니다.
• 단순히 길이, 사진 수 등으로 점수로 환산하지 않기 때문에 상세하고 진솔한 상품평을 작성하는 것이 중요합니다.
• 다른 고객에게 도움이 되는 솔직한 상품평을 작성하는 리뷰어에게 더 많은 점수가 부여됩니다."
101,와우 멤버십,와우 멤버십 가입을 하려는데 결제수단 등록이 안되면 어떻게 해야 하나요?,"와우 멤버십에 가입을 하려면 쿠팡 간편결제 수단인 쿠페이에 결제수단을 등록해야 합니다. 단, 본인 인증이 완료된 회원만 쿠페이를 이용할 수 있습니다.
 쿠페이 이용이 불가한 경우
• 타인 명의의 휴대폰 사용 또는 미등록 외국인으로 인증이 불가한 경우
• 해당 고객 정보로 이미 가입된 아이디가 존재하는 경우
 쿠페이에 가입된 다른 아이디 찾는 방법
로그인 → 아이디∙비밀번호 찾기"
102,가입/탈퇴,아이디를 여러 개 사용할 수 있나요?,"인증을 받지 않은 아이디는 여러 개 보유할 수 있지만, 상품을 구매하려면 본인인증이 필요합니다. 또한, 정기배송과 같은 일부 서비스는 본인 인증이 완료된 아이디 1개만 사용이 가능합니다. 구매 활동에 대한 정확한 안내를 위하여 1인당 1개의 아이디만 사용하실 것을 권장합니다. 이미 가입(인증)한 아이디가 있으나 아이디가 기억나지 않는 경우, 아래의 경로에서 본인 확인 후 아이디를 찾아 이용해 주시기 바랍니다.
 아이디 찾기
로그인 → 아이디(이메일)/비밀번호 찾기 → [아이디(이메일) 찾기]"
103,취소,"여러 상품을 한꺼번에 주문했는데, 부분 취소가 가능한가요?","네, 배송상품은 옵션 단위로, 티켓상품은 수량 단위로 취소할 수 있습니다. 
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 클릭
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 • 무통장입금 주문은 입금 전에는 취소가 불가합니다.
• 로켓프레시 상품 중 신선/냉장/냉동상품은 배송 시작 이후에는 주문 취소가 불가합니다.
• 마이쿠팡에서 직접 취소할 수 없는 경우 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다."
104,환불,"쿠팡캐시로 결제 후 주문을 취소했는데, 언제 환불되나요?","쿠팡캐시로 주문한 상품을 취소/반품한 경우, 취소완료 당일에 주문한 아이디로 쿠팡캐시가 환불됩니다. 단, 쿠팡캐시와 다른 결제수단을 함께 복합결제한 경우, 다른 결제수단의 취소가 완료된 당일에 환불됩니다.
 쿠팡캐시 확인하기 (클릭)"
105,판매자 회수,"상품을 반품할 때, 제가 이용하는 택배로 보내도 되나요?","만약 반품 상품을 직접 발송하시고 싶다면 원활한 반품 진행을 위해 판매자와 계약된 택배사를 통해 반송해 주시기 바랍니다. 판매자와 계약하지 않은 다른 택배사를 통해 반송할 경우 추가 배송비(추가 반품비용)가 부과될 수 있습니다. 또한, 다른 택배사를 이용하여 이미 상품을 반송했다면, 마이쿠팡에서 반품 접수를 할 수 없습니다. 반송장 정보를 확인하여 쿠팡 고객센터에서 반품을 접수해 주세요.
 판매자 정보 확인하기 (클릭)"
106,쿠팡체험단,쿠팡 체험단에 선정되었는데 체험상품 구매 방법을 알려주세요.,"[마이쿠팡 → 리뷰관리 → 쿠팡체험단]에서 선택한 상품을 확인한 후(신청이 완료되면 체험한 상품으로 노출), 해당 상품 페이지로 이동하면 구매가 가능합니다.
 ※ 체험상품은 되도록 쿠팡 모바일 앱으로 주문해 주시기 바랍니다. (PC 환경에서는 이용에 일부 제한이 있을 수 있습니다.) 
 • [마이쿠팡 → 리뷰관리 → 쿠팡체험단] 탭에서 상품을 선택합니다.
• 쿠폰을 발급하면 자동으로 주문/결제 페이지로 이동합니다.
• 주문/결제 페이지에서 할인쿠폰 적용한 후 주문합니다.
• 쿠팡 체험단 쿠폰을 적용하면 실제 결제 금액이 0원이어야 합니다.
• [체험한 상품]으로 조회될 경우, 해당 쿠폰을 이미 소지한 상태입니다."
107,인증,본인 명의의 휴대폰 인증이 안되는 경우가 있나요?,"네, 다음의 경우엔 휴대폰 인증을 할 수 없습니다.
 본인 명의 인증이 불가능한 기기(휴대폰)
• 선불 휴대폰
 본인 인증이 불가능한 경우
• 분실 또는 일시 정지 상태(이용자의 요청 또는 미납 등)
• 법인 명의로 개통한 경우
• 이동 통신사에 미 등록된 휴대폰(해지 또는 미개통 등)"
108,취소,상품 품절로 주문이 취소됐어요.,"주문한 상품이 입고지연, 상품단종 등의 사유로 품절되면, 주문이 취소되고 고객님께 취소 안내문자가 발송됩니다. 이후 결제취소 승인이 완료되면, 원결제 수단으로 환불이 진행됩니다.
 로켓배송 상품의 경우 ‘재입고 알림신청’을 하면, 상품의 재입고 상태를 빠르게 확인할 수 있습니다.
 재입고 알림 신청하기
마이쿠팡 → 주문목록 → 상품선택 → 상품페이지로 이동하여 [재입고 알림신청] 클릭
 결제수단별 환불 기간 (더 보기)"
109,로켓배송,새벽배송 날짜와 배송시간을 지정할 수 있나요?,"아니요. 새벽배송은 다양한 요소(상품재고, 배송준비시간, 배송경로, 배송물량 등)에 의해 배송 방문시간이 달라지기에 배송 날짜와 시간을 지정할 수 없습니다.
 배송현황 확인하기
마이쿠팡 → 주문목록 → 상품선택 → 배송조회"
110,회수,회수 일정이 지났는데 반품 상품을 안 가져갔어요.,"먼저 쿠팡 모바일 앱 [마이쿠팡] 메인 화면에 안내된 회수 예정일을 확인해 주세요. 
 이외에도 다음의 경우에 해당하는지 확인 부탁드립니다. 
 • 반품 신청 시 선택한 회수지에 상품을 보관하지 않은 경우
• 반품 상품이 여러 가지인데 구분이 명확하지 않아 택배기사가 인지를 못한 경우
• 택배사에서 회수 연락을 드렸으나 고객이 부재중인 경우
• 택배사의 회수 요청 문자에 답장을 못한 경우
 로켓배송 상품
마이쿠팡에 안내된 회수 예정일에 회수되지 않은 경우, 배송직원은 평일 기준 1일 이내, 택배기사는 평일 기준 1~2일 이내 회수지에 다시 방문하여 반품 상품을 회수합니다. (일요일 및 공휴일 제외)
 로켓직구 / 판매자 배송 상품
마이쿠팡에 안내된 회수 예정일 및 택배기사가 약속한 회수 예정일에 회수되지 않은 경우, 쿠팡 고객센터 또는 해당 택배사로 문의 부탁드립니다."
111,신용카드,다른 사람 명의의 카드로도 결제가 가능한가요?,"네, 다른 사람 명의의 카드로도 결제가 가능합니다. 각 디바이스 별로 주문/결제페이지에서 다음과 같이 진행해 주세요. 
 모바일
• 결제수단 → 신용/체크카드 → 결제하기 → 카드정보 직접입력 → 다른 명의 카드 → 다른 명의 카드 결제
이미지로 확인하기 (클릭)
※ 단, BC/카카오뱅크/기타 증권사 카드는 모바일에서는 타인 명의 카드로 결제가 불가하니 PC를 이용해 주세요.
※ KB카드는 타인 명의 카드로 결제 시 KB Pay 버튼을 이용해 주세요. 
 PC
• 결제정보 → 결제방법 → 신용/체크카드 → [OOO님 명의 카드] 해제 후 결제하기 
이미지로 확인하기 (클릭)"
112,쿠팡리서치,쿠팡리서치는 무엇이며 참여 조건은 어떻게 되나요?,"쿠팡리서치는 쿠팡의 더 나은 서비스를 위해 인터뷰와 설문으로 고객님, 사업자, 배달파트너 등 다양한 분들의 의견을 듣고 있습니다. 
 리서치 주제 및 조건에 해당하며 ‘쇼핑혜택(광고성) 푸시 수신’에 동의하신 분들에게만 모바일 앱 푸시, 카카오톡, 문자(1577-7011 번호로 발송)로 참여 메시지를 보내드리고 있습니다. 리서치에 따라 사례비가 있는 경우에는 이를 함께 안내하고 소정의 사례비를 지급하고 있습니다. 쿠팡리서치에 참여하시려면 쿠팡 모바일 앱에서 ‘쇼핑혜택(광고성) 푸시 수신’에 동의해 주시기 바랍니다. 
 쇼핑혜택(광고성) 푸시 수신 동의 방법 (모바일 앱에서만 가능)
마이쿠팡 → [내이름] 선택 → 푸시설정 → [쇼핑혜택(광고성) 푸시 수신] ON 설정하기
 ※ 쿠팡리서치 관련 문의는 카카오톡 채널 [쿠팡리서치]로 연락해 주시기 바랍니다.
※ 카카오톡 채널 [쿠팡리서치]는 쿠팡 본사 리서치팀에서 운영하는 채널입니다."
113,쿠팡리서치,쿠팡리서치에 참여하면 사례비가 있나요?,"리서치 종류에 따라 다릅니다. 리서치 참여 메시지에 사례비가 안내되어 있는 경우에는 소정의 사례비를 지급하고 있습니다. 따라서, 사례비에 대한 정확한 정보(종류 및 금액 등)는 개별 메시지를 통해 확인해 주시기 바랍니다. 사례비가 지급되는 경우, 리서치 완료 이후 최대 20일 내에 지급해 드립니다.
 대상에 따른 사례비의 종류
• 고객 : 쿠팡캐시 또는 현금
• 셀러 : 쿠팡캐시 또는 광고비
• EDP : 배달파트너 내 수입"
114,쿠팡리서치,설문 참여 문자를 받았는데 쿠팡에서 보낸 것이 맞나요?,"쿠팡리서치에서는 설문 참여 링크가 있는 메시지를 모바일 앱 푸시, 카카오톡, 문자로만 발송합니다. 문자 메시지는 1577-7011 번호로만 발신되는 점 유의해 주시기 바랍니다. 
 ※ 만약 피싱 및 스미싱 사기가 의심된다면 카카오톡 채널 [쿠팡리서치]로 연락해 주시기 바랍니다.
※ 카카오톡 채널 [쿠팡리서치]는 쿠팡 본사 리서치팀에서 운영하는 채널입니다."
115,쿠팡리서치,인터뷰는 어떻게 진행되나요?,"인터뷰 신청서 작성 후 평일 기준 3일 이내 인터뷰 대상자로 선정된 분들에 한하여 카카오톡 [쿠팡리서치] 채널에서 연락을 드립니다. 대상자로 선정되지 않았다면 카카오톡 [쿠팡리서치] 채널에서 마감 메시지로 안내합니다. 
 인터뷰는 대면 또는 비대면 방식으로 진행되며, 인터뷰 시간은 주제에 따라 최소 30분에서 최대 120분까지 소요됩니다. 따라서, 인터뷰에 대한 정확한 정보(일정 및 시간 등)는 대상자에게 안내되는 개별 메시지를 통해 확인해 주시기 바랍니다."
116,배송비,배송비는 얼마인가요?,"배송비는 각 상품마다 다르므로 구입하려는 상품의 상세페이지에서 배송비를 확인해 주세요. 배송비는 상품의 종류, 부피, 무게뿐 아니라 판매자와 택배사의 계약 조건 등에 따라 다양합니다. 도서, 산간 지역은 추가 배송비가 발생할 수 있으며 이는 구매자 부담입니다."
117,선물하기,선물하기로 주문했는데 쿠팡캐시가 추가 적립되지 않았습니다.,"선물하기 쿠팡캐시 적립 조건은 다음과 같습니다.
 • 선물을 받는 사람(수취인)이 선물을 수락해야 합니다. → 선물을 받는 사람(수취인)이 선물을 수락했는지 확인해 주세요.
• 선물하기 쿠팡캐시는 결제 완료 9일 후에 적립됩니다. → 선물하기 주문 후 9일이 지났는지 확인해 주세요.
 다음의 경우에는 선물하기 쿠팡캐시가 적립되지 않습니다. 
 • 선물하기 쿠팡캐시 적립은 월 최대 5만원의 한도가 있으며, 이를 초과하면 추가로 적립되지 않습니다. 
• 기프트카드는 쿠팡캐시 적립에서 제외됩니다."
118,쿠페이 신용카드,결제 가능한 해외카드는 무엇이 있나요?,"해외에서 발급한 카드는 VISA, MASTER, JCB 카드만 등록과 결제가 가능합니다.
 단, 쿠팡에 등록된 회원정보와 동일한 고객 본인 명의의 카드만 등록할 수 있습니다. (본인 인증 실패 시 등록 불가)"
119,로켓직구,개인통관고유부호가 무엇인가요?,"개인통관고유부호는 개인 물품 수입 신고 시 개인정보 유출을 방지하기 위해 주민등록번호 대신 사용하는 13자리 부호입니다. 이는 개인 식별을 위한 고유번호로 관세청 시스템에서 신청 즉시 발급됩니다. 한 번 발급받은 부호는 반복해서 사용할 수 있습니다. 상품 구매 시 ‘주문하는 사람’과 ‘받는 사람’이 다른 경우엔 ‘받는 사람(수취인)’의 개인통관고유부호를 입력하셔야 통관이 가능한 점 유의해 주세요. 
 개인통관고유부호 발급하기
관세청 전자통관시스템 바로가기 (클릭)"
120,개인정보 설정,개인정보는 안전하게 보호되고 있나요?,"쿠팡은 인터넷을 통해 전달되는 고객 정보의 보안 및 안전한 거래를 위해 SSL(Secure Socket Layer) 암호화 보안시스템을 도입하여 개인정보를 안전하게 보호하고 있습니다. 
 ※ SSL(Secure Socket Layer)란?
브라우저와 서버 간 통신에서 정보를 암호화하여 해킹으로 정보가 유출되더라도 해당 정보의 내용을 보호할 수 있게 해주는 보안 시스템입니다."
121,가입/탈퇴,제 명의로 가입된 휴대폰 번호가 없는데 다른 사람의 휴대폰 번호를 사용해도 되나요?,"네, 다른 사람의 휴대폰 번호로 등록하여 사용할 수 있습니다. 단, 휴대폰 번호 명의자 정보로 본인 인증을 성공해야 하며, 등록된 휴대폰 번호로 구매 및 취소정보, 티켓번호, 주요 서비스 정책 변경 등의 중요한 정보를 안내해 드리므로 최대한 가입자 본인 명의의 정보를 입력해 주시기 바랍니다. 또한, 정기배송, 성인용품구매 등 일부 서비스는 인증된 본인에 한하여 제공되는 점 참고하시기 바랍니다."
122,쿠페이,쿠페이에서 신용/체크카드 및 은행계좌의 등록과 삭제는 어떻게 하나요?,"쿠페이 결제수단(신용/체크카드, 은행계좌) 등록하기 (등록 페이지 바로가기)
PC : 마이쿠팡 → 결제수단∙쿠페이 관리 → 계좌∙카드 → 결제수단 등록
모바일 : 마이쿠팡 → 결제수단 → 계좌∙카드 → 결제수단 등록
 쿠페이 결제수단(신용/체크카드, 은행계좌) 삭제하기 (삭제 페이지 바로가기)
PC : 마이쿠팡 → 결제수단∙쿠페이 관리 → 계좌∙카드 → [삭제] 버튼 클릭
모바일 : 마이쿠팡 → 결제수단 → 계좌∙카드 → [삭제] 버튼 클릭"
123,정기배송,정기배송 서비스가 종료되나요?,"네, 정기배송 서비스는 2025년 12월 29일(월)에 공식 종료됩니다. 그동안 정기배송을 이용해 주신 고객분들께 감사의 말씀 드립니다.
 정기배송 서비스는 종료되지만, 앞으로도 로켓배송을 통해 필요한 상품을 빠르게 받아보실 수 있습니다. 더 나은 서비스 제공을 위해 항상 노력하겠습니다.
 참고사항
• 종료 일자 이후 정기배송 서비스 이용은 불가능합니다. 단, 지역에 따라 마지막 배송은 12월 31일까지 진행될 수 있는 점 참고해 주세요. 
• 서비스 종료 이후 정기배송 주문 및 결제 내역은 [마이쿠팡 > 주문목록]을 통해 확인할 수 있으며, 추가 문의는 쿠팡 고객센터(1577-7011)로 연락해 주세요."
124,개인정보 설정,쿠팡 앱에서 국가/지역을 대만으로 변경해서 사용할 수 있나요?,"네, 쿠팡 모바일 앱에서는 국가/지역을 한국 또는 대만으로 변경 및 선택할 수 있습니다. (단, PC에서는 불가)
 국가/지역을 변경하면 해당 지역에서 주문 및 배송이 가능한 상품만 보여지도록 앱이 자동으로 전환됩니다. 대만 지역에서는 영어 또는 중국어를 선택할 수 있으며, 한국어는 지원되지 않습니다.
 모바일 앱 국가/지역 설정하기 (PC에서는 불가)
마이쿠팡 → 내정보관리(우측 상단 톱니바퀴 아이콘) → 계정 설정 → 국가/지역 및 언어
 참고사항
• 국가를 변경하면 각 국가별로 별도의 계정 로그인이 필요합니다.
• 대만 지역에서는 한국 계정으로 로그인할 수 없으며, 대만 계정을 새로 만들어야 합니다. 현재는 한국 휴대폰 번호로는 대만 계정에 가입할 수 없습니다."
125,쿠팡체험단,쿠팡 체험단 해촉증명서나 탈퇴 확인 서류를 발급받을 수 있나요?,"아니요, 해촉증명서와 탈퇴 확인 서류는 발급해 드리지 않습니다.
 쿠팡 체험단은 2주마다 활동 고객을 선정해 초대하는 방식으로 운영되며, 지속적인 초대를 보장하지 않습니다. 별도의 신청이나 탈퇴 절차가 없기 때문에 관련 서류도 제공되지 않는 점 양해 부탁드립니다.
 참고사항
① 활발한 상품평 활동과 양질의 구매후기를 등록해 주시면 초대 가능성이 높아집니다. 단, 상품평 랭킹과는 무관하며 구체적인 선정 기준은 안내해 드리기 어렵습니다.
② 해촉증명서란? 위촉했던 자리에서 물러난 사실을 증명하기 위한 문서"
126,R.LUX,알럭스 패션 상품 구매 시 입력해야 하는 개인통관고유부호란 무엇인가요?,"개인통관고유부호는 개인 물품 수입 신고 시 개인정보 유출을 방지하기 위해 주민등록번호 대신 사용하는 13자리 부호입니다. 이는 개인 식별을 위한 고유번호로 관세청 시스템에서 신청 즉시 발급됩니다. 한 번 발급받은 부호는 반복해서 사용할 수 있습니다. 상품 구매 시 ‘주문하는 사람’과 ‘받는 사람’이 다른 경우엔 ‘받는 사람(수취인)’의 개인통관고유부호를 입력하셔야 통관이 가능한 점 유의해 주세요.
 개인통관고유부호 발급하기
관세청 전자통관시스템 바로가기 (클릭)"
127,R.LUX,알럭스 패션의 관세 부과 기준은 어떻게 되나요?,"R.LUX 패션의 모든 상품 가격에는 관세 및 부가가치세가 사전에 포함되어 있어, 별도의 추가 비용 없이 구매하실 수 있습니다. 
 또한, 로켓직구 배송 서비스를 통해 빠르고 안전하게 상품을 받아보실 수 있습니다."
128,R.LUX,알럭스 패션 상품은 정품이 맞나요?,"네, R.LUX 패션은 파페치를 통해 검증된 정품만을 판매합니다. 
 파페치는 2008년 론칭한 글로벌 럭셔리 패션 플랫폼의 선두 주자로, 전 세계 명품 브랜드 및 부티크와 공식 파트너십을 맺고 있습니다."
129,개인정보 설정,개인정보 열람/정정 요청은 어떻게 할 수 있나요?,"아래의 두 가지 경로를 통해 언제든지 개인정보 열람(조회) 등의 권리를 행사할 수 있습니다.
 1. 쿠팡 PC 홈페이지 또는 모바일 앱을 통해 직접 열람/정정하기
 • 쿠팡 PC 홈페이지 : 마이쿠팡 → MY 정보 → 개인정보 확인/수정
• 쿠팡 모바일 앱 : 마이쿠팡 → 내정보관리 → 회원정보 수정
• 쿠팡이츠 모바일 앱 : MY이츠 → 설정 
• 쿠팡플레이 모바일 앱 : 프로필 → 설정 → 계정 관련 → 쿠팡 계정 관리
 2. 쿠팡 고객센터(1577-7011 또는 문의하기)를 통해 개인정보 열람/정정 요청하기
 ① 고객센터를 통해 열람/정정 요청서 수령
② 요청서 작성 및 고객센터에 전달
③ 열람/정정 여부 확인"
130,상품,구매한 상품이 위조상품(지식재산권 침해)으로 의심됩니다.,"구매한 상품이 위조상품(지식재산권 침해)으로 의심되는 경우 쿠팡 고객센터(1577-7011) 또는 아래의 신고 채널로 문의해 주시기 바랍니다.
 신뢰관리센터 내 신고하기 바로가기 (PC에서만 가능)
 ① 쿠팡 PC 홈페이지 접속
② 메인 화면 하단에서 [신뢰관리센터] 선택
③ 좌측 메뉴에서 [신고하기] 선택
④ 내용 작성 후 [신고하기] 버튼 선택"
131,상품페이지,주문한 상품의 상품 페이지가 사라졌어요.,"고객님께서 주문하신 상품의 상품 페이지를 다시 확인했을 때 “상품을 찾을 수 없습니다”라는 메시지가 나오는 이유는 다음과 같습니다.
 • 주문 후 상품 판매가 종료되어 더 이상 제공되지 않는 경우
• 입력한 주소(URL)가 정확하지 않은 경우
 1) 아직 상품을 받기 전에 상품 페이지가 사라졌다면?
우선 배송 예정일까지 기다려 주세요. 상품 페이지는 삭제되었더라도 고객님의 주문은 접수되었으므로 확인 후 예정된 일정에 따라 출고될 예정입니다. 자세한 배송 일정은 마이쿠팡을 확인해 주세요.
 배송현황 확인하기
마이쿠팡 → 주문목록 → 상품선택 → 배송조회
 ※ 판매자 배송 상품의 경우, 마이쿠팡에서 배송 정보가 확인되지 않는다면 판매자명을 클릭(터치)하여 판매자에게 직접 문의해 주세요.
 2) 예전에 구매한 상품의 페이지가 사라졌다면?
이 경우 해당 상품의 판매가 종료되어 재구매가 어려운 상황일 수 있습니다. 비슷한 상품을 찾고 싶으시다면, 쿠팡 검색창에 관련 키워드를 입력해 보세요. 다양한 유사 상품을 확인하실 수 있습니다."
132,쿠팡플레이,부적절한 리뷰를 신고하고 싶어요.,"쿠팡플레이의 콘텐츠 리뷰 중 운영 정책에 어긋나는 리뷰를 발견하셨다면, 리뷰 신고 기능을 활용하여 건전하고 안전한 쿠팡플레이 커뮤니티를 만들어나가는데 동참해 주세요. 신고하신 리뷰는 쿠팡플레이 팀에서 내부 운영 정책에 의거하여 신속하게 확인 후 블라인드 처리 여부를 검토하겠습니다.

■ 콘텐츠 리뷰 신고 방법
리뷰 신고하기는 각 리뷰의 우측의 더보기(점 3개) 메뉴를 클릭하셔서 [신고하기]를 선택하고, 신고 사유를 알려주세요. 아래의 신고 사유들 중 해당되는 항목을 개수에 제한 없이 선택하실 수 있으며, 신고 이유를 작성하신 후 [신고하기] 버튼을 누르시면 신고가 접수됩니다.

■ 신고 사유
• 비속어/음란성
• 폭력성
• 혐오 혹은 차별 발언
• 사기/거짓 정보 유표
• 불법 행위/판매
• 명예, 초상권 혹은 사생활 침해
• 지적재산권 침해
• 스팸(도배성 발언)
• 스포일러
• 기타

타당한 사유 없는 허위 신고건의 경우, 신고자에 대한 활동 제한이 가해질 수 있으니, 신고 기능을 신중하게 활용해 주시기 바랍니다."
133,쿠팡플레이,PC 웹에서 재생 시 로딩이 발생해요.,"쿠팡플레이 PC 버전에서 시청 시, Google 정책 업데이트에 따라 브라우저 및 OS 버전 업데이트가 필요하며 아래 내용을 확인해 주세요.
 1. Windows 7/8/8.1 을 사용하시는 경우
• Windows OS 10 이상으로 업데이트가 필요합니다.
 2. MacOS Catalina 또는 이전 버전을 사용하시는 경우
• MacOS Big Sur 이상으로 업데이트가 필요합니다.
* 자세한 OS 버전 업데이트 방법은 제조사 고객센터 문의를 권장드립니다.
 3. Windows 10/11 또는 MacOS Big Sur 이상을 사용하시는 경우
• 사용하시는 브라우저의 최신 버전으로 업데이트가 필요합니다.
 ■ 크롬 브라우저
① 크롬 브라우저를 실행합니다.
② 오른쪽 상단에서 [Chrome 맞춤설정 및 케어] (점 3개 버튼) 을 클릭합니다.
③ [도움말] → [Chrome] 정보를 클릭합니다.
④ [Chrome 업데이트] 를 클릭합니다. 
⑤ [다시 실행] 을 클릭합니다.
 ■ 엣지 브라우저
① 엣지 브라우저를 실행합니다.
② 오른쪽 상단에서 [설정 및 기타] (점 3개 버튼) 을 클릭합니다.
③ [설정] 을 클릭합니다.
④ [Microsoft Edge 정보] 를 클릭합니다.
⑤ 이전 버전이라면 자동으로 최신 버전 업데이트가 진행됩니다.
 ■ 웨일 브라우저
① 웨일 브라우저를 실행합니다.
② 오른쪽 상단에서 [...] (점 3개 버튼) 을 클릭합니다.
③ [기타] → [네이버 웨일 정보] 를 클릭합니다.
④ 이전 버전이라면 자동으로 최신 버전 업데이트가 진행됩니다."
134,쿠팡플레이,개별구매 콘텐츠를 환불받고 싶어요.,"쿠팡플레이의 개별구매 콘텐츠는 구매 후 7일 이내 또는 대여 기간 만료 이전에 환불 요청이 가능하나, 콘텐츠의 일부를 시청하신 경우 환불이 어려운 점 이용에 참고 부탁드립니다.

환불을 원하시는 경우, 쿠팡플레이 앱/웹에서 [프로필] → [개별구매] → 콘텐츠 우측의 더보기(점 3개) 메뉴 → [환불 요청] 을 클릭 후, 아래의 환불 사유 중 1개를 선택하여 접수해 주세요.

■ 실수로 구매
■ 결제 오류
■ 단순변심
■ 콘텐츠, 영상 재생 등 시스템 오류
 환불 접수 이후에는 동일 메뉴에서 환불 처리 상태를 확인할 수 있습니다. 환불은 접수일로부터 3 영업일 이내 결제 수단과 동일한 방법으로 처리되지만, 결제사 및 은행 별로 처리 기간이 상이할 수 있어 지연될 수 있음을 알려드립니다."
135,쿠팡플레이,자막 크기와 스타일을 변경하고 싶어요.,"쿠팡플레이 시청 환경에 따라 아래의 방법으로 자막의 크기와 배경 색상 및 불투명도 설정이 가능합니다. 단, 모바일의 경우 기기 내 설정으로 자막 스타일이 적용되지 않는 콘텐츠가 있을 수 있는 점 이용에 참고 바랍니다.
 ■ 안드로이드
기기 [설정] → [접근성] → [청각 보조] → [자막 설정] → [자막 크기와 스타일]

■ iOS
기기 [설정] → [손쉬운 사용] → [자막 및 청각 장애인용 자막]

■ PC
쿠팡플레이 PC버전(www.coupangplay.com)에서 플레이어 하단 [음성&자막] → [자막스타일] 탭을 클릭하여 자막 크기, 위치, 배경 불투명도 설정"
136,쿠팡플레이,콘텐츠 다운로드할 때 반드시 데이터를 사용해야 하나요?,"아니요, 쿠팡플레이 설정에서 Wi-Fi 환경에서만 다운로드가 가능하도록 설정할 수 있습니다.
 ■ 쿠팡플레이: [프로필] → 우측 상단 [설정] 아이콘 → [Wi-Fi에서만 다운로드]
 데이터를 사용하여 콘텐츠 다운로드 시 과도한 데이터 요금이 부과될 수 있으니 참고 부탁드립니다."
