은행,상품종류,상품이름,조항,조항이름,조항내용
KB_bank,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,10,질권의 목적인 예금 등의 표시 (단위 : 원),수입인지 붙이는 곳
KB_bank,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,11,담보권 설정,"① 이 약정에 의한 채무를 담보하기 위하여 제10조에 표시한 예금 등에 질권을 설정하고 은행 앞으로 그 증서(통장)의 인도를 마쳤습니다.
②  제1항에 의한 질권의 효력은 원금·수익권(이 계약 이후에 적립되는 금액을 포함합니다)과 이에 부수하는 이자·수익의 수익권, 특별장려금, 법정장려금 등에 미칩니다.
③  예금 등이 기한연장·개서(새로씀)·갱신·분할·병합·증액·감액 또는 이자를 원금에 가산한 경우에도 그 위에 질권의 효력이 미침을 승인하며, 그 목적인 신탁이 기
간연장되거나 연체로 말미암아 자동연장 처리된 경우에 있어서도 그에 대한 수익권 위에 효력이 미침을 승인합니다.
④ 은행은 제1항에 의한 질권을 행사하지 아니하고 은행여신거래기본약관(가계용)의 정하는 바에 따라 은행의 채권과 제10조에 표시한 예금 등을 상계할 수 있습니다.
⑤  적립식예금 관련 대출인 경우 은행은 대출금이자 및 제1항의 질권의 목적인 관련 예금 등의 월적립금이 6개월(적립식신탁대출의 경우 4회) 이상 납입지체된 때에는 대
출기간 만료일 이전이더라도 통지에 의해 담보예금 등과 대출금을 상계할 수 있습니다."
KB_bank,대출,계좌간 자동이체 약관,12,"담보, 보험 및 추가담보 제공","①  본인은 은행의 대출을 받아 건설 또는 구입하는 시설물과 건물(대출 받은 토지 위에 건설하는 시설물, 건물 포함)은 건설 중이나 건설완료 후에도 은행의 승인없이 그 소
유권 이전행위, 저당권, 지상권(타인의 토지에 건물, 기타의 공작물을 세우거나 수목을 심어 소유하려는 목적으로 그 토지를 사용할 수 있는 권리), 전세권, 가등기, 임
차권 등 각종 권리의 설정행위를 하지 않겠으며, 제3자로부터 은행의 권리가 침해되는 일이 없기로 하며, 동 시설물과 건물은 토지와 함께 은행에 담보로 제공하기로 하
며, 은행이 요청하는 경우 은행이 동의하는 종류와 금액의 보험에 가입하고 그 보험금 청구권에 은행을 위하여 질권설정하기로 합니다.
② 본인이 담보로 제공할 토지에 대하여 지적공부 및 등기부정리가 완료되지 아니한 경우에 해당 토지의 지적정리 완료 후에도 제1항을 준용하기로 합니다."
KB_bank,대출,계좌간 자동이체 약관,13,채무인수 불허 특약,대출을 받은 후 담보로 제공한 부동산의 소유권을 제3자에게 이전한 경우에도 이 대출은 부동산 양수인에게 인계되지 아니합니다.
KB_bank,대출,계좌간 자동이체 약관,14,기한연장,"① 대출기간이 만료된 때 은행이 정한 방법에 따라 기한연장되거나, 연장에 따른 대출이자율이 변경된 때에도 계속하여 이 약정에 따르기로 합니다.
②  은행이 정한 기준에 따라 자동연장조건에 일치할 경우, 은행은 “기한연장 및 금리변경”에 관하여 별도의 약정서 등을 받지 아니하고 은행이 정하는 기준에 따라 기한연장
및 금리변경 처리하기로 하며, 은행은 기한연장된 대출금의 이자율과 새로운 대출기간 만료일 등을 연장 후 10일 이내에 유선 또는 서면으로 통지하기로 합니다.
③  제2항에 따라 변경된 이자율에 이의가 있을 때는 변경일로부터 1개월이내에 본 약정을 해지할 수 있으며, 이 경우 해지일 까지는 변경전 대출이자율을 적용하기로 하
고 해당 해지로 인하여 발생한 은행에 대한 상환채무이행을 지체하는 경우 지연배상금률을 적용하기로 합니다. 또한 동 기한내에 이의제기를 하지 않을 경우에는 변경
된 내용에 동의한 것으로 봅니다."
KB_bank,대출,계좌간 자동이체 약관,15,인지세의 부담,"① 이 약정서 작성에 따른 인지세는 각 50%씩 본인과 은행이 부담합니다.
② 제1항에 의하여 본인이 부담하기로 한 인지세를 은행이 대신 지급한 경우에는 은행여신거래기본약관(가계용) 제4조에 준하여 갚기로 합니다."
KB_bank,대출,계좌간 자동이체 약관,16,대출실행 중단,"은행은 대출계약 체결 후 대출실행 전에 차주에게 대출 증가, 연체 발생, 신용등급 하락 등 차주의 신용위험, 상환능력이 악화되거나 차주가 제공한 정보의 내용이 달라져
대출 실행에 중대한 영향을 미치는 경우 대출을 실행하지 않을 수 있습니다."
KB_bank,대출,계좌간 자동이체 약관,17,은행여신거래기본약관(가계용)의 적용,본 약정서에 추가하여 은행여신거래기본약관(가계용)이 적용됩니다. 추후 은행여신거래기본약관이 변경될 경우에는 변경된 바에 따릅니다.
KB_bank,대출,계좌간 자동이체 약관,0,약관 전문,"계좌간 자동이체약관을 승인하며, 아래와 같이 자동이체를 신청합니다.
연결계좌번
이체한
계좌간 자동이체 약관"
KB_bank,대출,계좌간 자동이체 약관,1,자동이체 방법,"이체합니다. 다만, 입금계좌가 퇴직연금인 경우에는 18시 전 입금분에 한해 입금계좌로 이체합니다.
② 지정일이 영업일이 아닌 때는 그 다음 영업일에 이체합니다. 다만, 정기예금 및 신탁 월지급 이자는 그 전 영업일에 이체합니다.
③ 통장자동대출 약정을 체결한 경우에는 대출금액을 포함하여 이체합니다. 다만, 고객이 따로 요청하는 경우에는 예금잔액 이내에서만 이체할 수 있습니다."
KB_bank,대출,계좌간 자동이체 약관,2,지급자금 부족 때의 처리,"다만, 이체주기를 매 영업일로 정하는 경우 해당 이체 지정일에 출금계좌의 지급자금이 이체금액에 미달하면 부족자금이 채워지는 날에도 이체되지 않습니다.
② 제1항에 불구하고, 입금계좌가 대출계좌, 집합투자기구(펀드), 퇴직연금인 경우에는 별도로 정한 바에 따릅니다."
KB_bank,대출,계좌간 자동이체 약관,6,이체일 및 이체금액 미지정때 처리,대상거래가 발생했을 때 이체합니다.
KB_bank,대출,계좌간 자동이체 약관,7,은행의 자동이체 임의해지,등록을 해지한 것으로 보지 않습니다.
KB_bank,대출,계좌간 자동이체 약관,9,집합투자기구(펀드) 자동이체 처리,"집합투자기구(펀드)별 규약에서 정한 판매가격(매입기준가격) 적용일에 입금계좌로 이체합니다.
② 이체지정일에 출금계좌의 지급자금이 이체금액에 미달하는 경우에는 해당월의 자동이체 처리가 불가합니다.
③  단기금융집합투자기구(MMF)가 지급계좌일 경우에는 이체금액을 별도로 신탁계정에 예치하지 않고 이체금액만큼 지급 정지되며, 각각의 집합투자규약에서 정한 매입기
준가격 적용일에 출금하여 입금계좌로 이체합니다."
KB_bank,대출,계좌간 자동이체 약관,10,대출계좌 자동이체 처리,"②  이체 지정일에 출금계좌의 출금가능금액이 이체금액에 부족할 경우 약정납입일 전일까지는 부족한 금액이 채워지는 날 이체됩니다. 다만, 약정납입일 부터는 영업시간 마
감 이후 상환방법에 따라 다음과 같이 처리합니다.
1. 일시상환은 출금계좌의 출금가능금액 이내에서 약정이자를 일단위로 이체합니다.
2. 분할상환은 출금계좌의 출금가능금액이 1천원 이상일 경우 할부금을 원단위로 이체합니다.
3. 제1호 및 제2호에도 불구하고 협약대출, 정책자금, 파생연계상품 등은 제2조 본문에 따라 처리합니다.
③ 납부할 할부금의 일부 금액이 이체되는 경우 연체기준일은 변경되지 않습니다."
KB_bank,대출,계좌간 자동이체 약관,12,계좌이동서비스,"② 은행은 자동이체 통합관리시스템(www.payinfo.or.kr)에 자동이체 등록정보를 제공하여 조회 및 해지, 출금계좌 변경신청이 가능하도록 합니다.
③ 거래처는 은행 지점, 인터넷뱅킹(모바일뱅킹 포함), 자동이체 통합관리시스템(www.payinfo.or.kr)에서 계좌이동서비스를 신청할 수 있습니다.
④  거래처가 은행 지점, 인터넷뱅킹(모바일뱅킹 포함), 자동이체 통합관리시스템(www.payinfo.or.kr)에서 자동이체출금계좌를 당행계좌로 변경 신청할 경우 타은행 출금
계좌에 등록되어 있는 자동이체 해지 후, 당행 출금계좌로 신규 등록됩니다."
KB_bank,대출,계좌간 자동이체 약관,13,약관의 변경,"②  제1항의 변경내용이 거래처에게 불리한 경우 은행은 이를 서면, 전자우편 중 사전에 합의한 하나의 방법으로 변경 시행 전 최소 1개월 전까지 개별 통지하며, 사전에 합의한
방법이 없는 경우 은행에 신고된 주소 또는 전자우편주소로 개별 통지합니다. 다만, 기존 거래처에게 변경 전 내용이 그대로 적용되는 경우 또는 거래처가 변경내용에 대한
통지를 받지 아니하겠다는 의사를 명시적으로 표시한 경우에는 그러하지 않습니다. 거래처는 은행에 신고한 주소 및 전자우편주소 변경시 즉시 은행에 변경 신고하여야 하
며, 변경 신고하지 아니함으로 인하여 통지를 받지 못한 경우 은행은 이에 대한 책임을 지지 않습니다.
③  은행은 제2항의 통지를 할 경우 “거래처가 변경에 동의하지 아니한 경우 통지를 받은 날로부터 1개월 이내에 서면으로 계약을 해지할 수 있으며, 계약해지의 의사표시를 하
지 아니한 경우에는 변경에 동의한 것으로 본다.” 라는 취지의 내용을 통지하여야 합니다.
④ 거래처가 제2항 및 제3항의 통지를 받은날로부터 1개월 이내에 계약해지의 의사표시를 하지 아니한 경우에는 변경에 동의한 것으로 봅니다.
⑤ 은행은 약관을 영업점에 비치 또는 게시하여 거래처가 요구할 경우 이를 교부하여야 합니다."
KB_bank,대출,계좌간 자동이체 약관,14,준용,"② 이 약관과 전자금융거래 기본약관에 정하지 아니한 사항은 예금거래기본약관, 입출금이자유로운예금약관, 관련예금 및 신탁약관을 준용합니다.
고 객 용본 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다.
은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과 이 약정서의 사본을 교부하여야 합니다.
대출거래약정서(Ⅰ) (가계용)
(작성일자 : 20        .         .         )
1.  본인은 주식회사 국민은행(이하 “은행”)과 아래의 조건에 따라 대출거래를 함에 있어 은행여신거래기본약관(가계용) 및 이 약정서 사본을 확실히 수령하고, 주요 내용에 대하여
충분한 설명을 듣고 이해하였습니다.
2.  본인은 개인(신용)정보 조회·수집·이용·제공 동의서를 이해하고 동의하며, 개인(신용)정보 수집·이용·제공에 대한 고객권리안내문에 관해 자세히 설명 듣고 수령하였습니다.
3.  변동금리대출은 대출기간 중 대출이자율이 인상될 수 있으며, 이에 따라 재무적 부담이 증가될 수 있다는 내용에 대하여 충분한 설명을 듣고 이해하였습니다.
주    소"
KB_bank,대출,계좌간 자동이체 약관,1,거래조건  ,"(거래방식이 수 개로 되어 있는 경우 은행 직원의 설명을 듣고 해당되는 “” 내에 “∨” 표시합니다.)※ 은행영업시간 마감이후 자동화기기 또는 전자금융매체를 통한 계좌입금분은 당일 중 상환으로 처리되지 않을 수 있음을 유의하시기 바랍니다.
※ 대출기간 만료일이 토요일 또는 공휴일인 경우 그 만료일은 토요일 또는 공휴일로 하되, 상환기일은 은행의 다음영업일로 이연되며, 이연기간의 이자는 약정이자로 부담하기로 합니다."
KB_bank,대출,계좌간 자동이체 약관,2,대출금 수령계좌 지정·수령위임 표시제3조 기타 특약사항,"계좌번호 :
대출금수령계좌
예금주 :(서명 또는 인)
위임자(채무자)(서명 또는 인)
※ 특약내용을 본란에 기재하기 어려울 경우 약정서 후면의 별도 기재란을 이용하시기 바람E009–206(210×297) NCR지 (2021. 03 개정) K11"
KB_bank,대출,계좌간 자동이체 약관,4,대출이자율의 적용 및 변동,"①  제1조 제7항의 대출이자율 중 「MOR」또는「COFIX」를 기준으로 약정하는 대출의 경우, 대출을 실행하는 날의 「MOR」또는「COFIX」금리에 따라 고객님의 대출이자율이
적용됩니다. 이 경우에는 실제 적용할 대출이자율을 대출거래장에 표시하고, 개별통지는 생략합니다. 다만, 대출실행내역 통지서비스를 신청한 고객에게는 신청한 통지
방법에 따라 개별통지 합니다.
② 제1조 제7항의 「MOR」과 「COFIX」는 다음 각 호와 같이 결정됩니다.
1.  「MOR」 : 「MOR」은 제1조 제7항에서 선택한 「금리재산정주기」 또는 고정금리기간에 따라 결정됩니다. 「금리재산정주기」 또는 고정금리기간이 「3개월」인 경우 「MOR」
은 「CD 91 일물 유통수익률」, 「6개월」 이상인 경우 「MOR」은 「금리재산정주기」 또는 고정금리기간과 동일한 잔존만기를 가진 「AAA 등급 금융채유통수익률」을 각각
사용합니다. 현재 은행이 사용하는 「MOR」 중 「CD91일물 유통수익률」은 한국은행, 「금융채유통수익률」은 금융투자협회가 고시하는 전주 최종영업일 전 영업일 종가
입니다. 이 「MOR」의 적용기준은 금융환경의 변화(예 : 91일물 CD 거래 없음) 등 불가피한 사정이 발생할 경우 변경될 수 있습니다. 이 경우 은행은 영업점 게시판,
인터넷 매체 등을 통해 고시하기로 합니다.
2.  「COFIX」 : 「COFIX」는 대출실행일 직전 영업일 전국은행연합회에 최종 고시되어 있는 「신규취급액기준 COFIX」,「신 잔액기준 COFIX」, 「잔액기준 COFIX」 중 고객
이 약정을 할 때 선택한 금리를 적용합니다. 이 「COFIX」의 적용기준은 금융환경의 변화(예 : COFIX 전국은행연합회 고시 없음) 등 불가피한 사정이 발생할 경우 변
경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다.
③ 대출실행일에 결정된 대출이자율은 다음 각 호와 같이 변동됩니다.
1. 제1조 제7항의 「변동금리」 또는 「혼합금리」 대출의 대출기간 만료일 이내
가.  「MOR」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날에 제2항에 의해 정해진 「MOR」과 제9조에 의해 정해진 우대금리 적용기준에 따라
재산정됩니다.
나.  「COFIX」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날 직전 영업일 전국은행연합회에 최종 고시되어 있는 「COFIX」와 제9조에 의해 정
해진 우대금리 적용기준에 따라 재산정됩니다.
다.  「수신(신탁)금리」에 연동하는 대출 : 수신(신탁)금리가 변동된 날에 대출이자율이 변동됩니다. 다만, 복수예금을 담보로 한 대출은 이자납부 시점의 담보제공금액
을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동되고, 또한 일부상환 등에 따라 채무자의 신청에 의해 담보예금별 담보제공금액이 변경되는 경
우 변경된 담보제공금액을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동됩니다.
라. 「기타」 대출 : 은행과 협약기관(또는 고객)이 별도 정한 바에 따라 이자율이 변동됩니다.
2. 제1조 제7항의 「고정금리」, 「변동금리」, 「혼합금리」 대출의 대출기간 만료일 이후 : 기한연장 시점에 은행이 정한 기준을 따르기로 합니다."
KB_bank,대출,계좌간 자동이체 약관,5,지연배상금 및 지연배상금률,"①  이자 또는 분할상환원(리)금이 납입기일에 상환되지 않을 경우에는 납입기일 다음 날부터 실제 납입일 전일까지 납입할 금액에 대하여 제4항에서 정한 지연배상금률에
의한 지연배상금을 지급하기로 합니다.
대출기간 만료일에 채무를 이행하지 아니하거나, 이자를 지급하여야 할 때부터 1개월(주택담보대출의 경우 2개월)간 지체한 때, 분할상환원(리)금의 지급을 2회(주택담②
보대출의 경우 3회) 이상 연속하여 지체한 때 등 은행여신거래기본약관(가계용) 제7조에 의하여 기한의 이익을 상실한 때에는, 그 다음 날부터 대출잔액에 대하여 지연
배상금을 지급하기로 합니다.
③ 제11조 제4항 및 제5항의 경우 상계 후의 대출금 잔액에 대하여 그 다음 날부터 지연배상금을 지급하기로 합니다.
지연배상금률은 제1조 제7항에 의해 결정된 대출이자율에 연체가산율 연3%를 더하여 결정되며, 최고 지연배상금률은 아래와 같습니다.④
•  연15%. 다만, 제1조 제7항의 대출이자율이 최고 지연배상금률 이상인 경우 지연배상금률은 대출이자율에 연2%를 더한 율을 적용하기로 합니다."
KB_bank,대출,계좌간 자동이체 약관,6,중도상환수수료,"이 약정에 의한 대출기간 중에 대출금액의 전부 또는 일부를 상환하는 경우에는 제2항에서 정하는 계산방법에 따라 은행에 중도상환수수료를 지급하여야 합니다.①
② 중도상환수수료는 중도상환원금 × 수수료율 × (잔존일수 ÷ 대출기간)으로 합니다.
1. 수수료율은 제1조 제10항에서 정한 율을 적용하기로 하며 대출기간 중에 담보변경 등이 있는 경우에도 대출취급 당시의 수수료율에 따르기로 합니다.
2.  잔존일수는 상환방법에 관계없이 제1조 제4항의 대출개시일로부터 대출기간 만료일까지의 일수에서 상환일까지의 경과일수를 차감하여 계산하되, 대출개시일로부터
대출기간 만료일(기한연장 포함)까지의 일수가 3년을 초과하는 경우에는 3년째 되는 날을 대출기간 만료일로 합니다.
3.  대출기간은 대출실행방법에 관계없이 제1조 제4항의 대출개시일로부터 대출기간 만료일까지의 일수로 계산하되, 대출개시일로부터 대출기간 만료일(기한연장  포함)
까지의 일수가 3년을 초과하는 경우에는 3년째 되는 날을 대출기간 만료일로 합니다.
③ 제1항에 불구하고 다음 각호의 1에 해당하는 경우 또는 은행에서 별도로 정한 경우에는 중도상환수수료를 면제합니다.
1. 매월 납부하는 할부금에 포함된 대출원금
2. 기한의 이익상실 등으로 은행이 법적조치(경매, 소송 등)를 통해 대출금을 기일 전에 회수하는 경우
3. 은행여신거래기본약관(가계용) 제10조(은행으로부터 상계)의 사유로 예금과 대출금의 전부 또는 일부를 상계하는 경우
4. 잔여대출기간이 3개월 미만인 경우. 다만, 잔여대출기간은 기한전 중도상환일 다음날부터 대출기간 만료일까지 기간으로서 월단위 미만은 버립니다."
KB_bank,대출,계좌간 자동이체 약관,7,대출금 상환방법,"① 일시상환방식 : 대출기간 중에는 이자지급일에 이자만 납부하고, 대출기간 만료일에 대출원금을 전액 상환합니다.
② 분할상환방식
1. 원리금균등 분할상환 : 매월 이자지급일에 동일한 할부금을 상환합니다.
2. 원금균등 분할상환 : 매월 이자지급일에 이자 및 동일한 할부원금을 상환합니다.
3. 할부금고정 분할상환 : 매월 이자지급일에 최초 할부금을 만기까지 상환하고, 잔액은 대출기간 만료일에 전액 상환합니다.
4.  고객원금지정 분할상환 : 매월 이자지급일에 제1조 제11항의 상환방법에서 고객님이 지정한 할부원금과 이자를 함께 상환하고, 잔액은 대출기간 만료일에 전액 상환합니다.
5. 혼합상환 : 제1조 제11항의 상환방법에서 고객님이 지정한 대출원금은 만기일에 일시 상환하고, 나머지 금액은 매월 이자지급일에 동일한 할부금으로 상환합니다."
KB_bank,대출,계좌간 자동이체 약관,8,대출금 수령 위임,"본인이 은행으로부터 이 약정서에 의해 대출을 받음에 있어 동 대출금(부대비용을 정산하지 않은 경우 이를 차감한 금액)의 수령할 권한을 제2조와 같이 위임하며, 이에 따
른 분쟁 등이 있을 경우 본인이 책임을 부담하기로 합니다.
고 객 용"
KB_bank,대출,계좌간 자동이체 약관,9,우대금리 및 적용기준,"이후에는 제3항에서 정한 바에 따라 재산정되어 우대금리를 적용① 제1조 제7항의 대출이자율은 대출 실행시 아래 선택 항목의 우대금리가 적용되며, 하기로 확인합니다.
※ 은행직원의 설명을 들으시고 해당 “” 내에 “∨” 표시하시고, 우대항목 및 우대율을 기입합니다.
대출신규일로부터 3개월간 적용하며, 이후(기한연장 포함) 1개월 단위로 금리우대 조건 이행 시 자동연장②  금리우대항목(Ⅰ)에 의한 우대기간은  됩니다.
만약, 매월 상기 금리우대 조건을 이행하지 않거나 유지되지 않을 경우에는 우대받은 금리가 자동으로 인상되며, 금리인상 후 상기 조건을 재이행하는 경우에는 금리우
대가 재적용됩니다. 인상된 금리변동내역은 신청하신 이자통지/금리변경내역 통지 서비스에 따라 본인에게 통보됩니다.
우대금리재산정시 아래 기준에 따라 우대금리가 적용되며, 항목별로 별도의 정함이 있는 경우 그에 따르기로 합니다.③ 우대금리 세부 적용기준 :
1.  신용카드 이용실적 우대 : 결제계좌가 당행인 「KB국민카드」 社의 개인신용카드 이용실적이 있는 경우 최근 3개월 카드이용금액에 따라 차등 적용합니다.
1일~10일전전월말기준 최근 3개월 이용실적11일~말일전월말기준 최근 3개월 이용실적  가.  대출실행일이 인 경우 을 기준으로 하고, 인 경우에는 을 기준으로 적용
합니다.
나.  실적산정기간 최종월의 익월 5일까지 KB국민카드社에 신용카드 이용전표(취소전표 포함)가 매입되지 않은 경우 해당 이용금액(취소금액 포함)은 다음 금리산정
기간의 실적으로 반영됩니다.
다. 신용카드 이용금액에서 현금서비스금액, 연회비, 제 수수료, 연체료는 제외됩니다.
아파트관리비, 지로, 금융결제원CMS, 펌 뱅킹 자동이체계좌간 자동이체는 제외 2. 자동이체 실적우대 : 본인 계좌로  출금실적이 있는 경우에 인정되며, 됩니다.
1일~10일전전월말기준2건이상 자동이체 출금실적11일~말일전월말기준 2건이상 자동이체 출금실적   대출실행일이 인 경우 으로 을 기준으로 하고 인 경우 을 적용합
니다.
3. 급여(연금)이체 관련 실적우대
전월말기준 최근 3개월간 2회 이상  가. 은행에 급여(연금)이체 계약이 등록되어 우대금리재산정시점  본인 계좌로 급여(연금)이체 실적이 확인되는 경우
전월말기준 최근 3개월간 2회 이상  나.  은행에 급여(연금)임을 알 수 있는 방법으로 우대금리재산정시점  본인 계좌로 건별 50만원 이상 이체 실적이 확인되는 경우
[급
다. 「KB급여이체 신용대출」 기본 우대의 경우 ‘가’ 항의 조건을 충족하는 경우에 한하여 우대금리를 적용합니다.
전일기준(전자금융의 경우 전일기준 최근 1개월 이내) 4. 예금/전자금융 관련 실적우대 : 우대금리재산정시점 으로 제1항에서 정한 실적기준이 충족되는 경우 적용합니다.
5. 기타 거래실적 등에 의한 우대(Ⅰ~Ⅲ) : 은행 거래실적이 우수하거나 거래실적 증대가 예상되는 경우 제1항에서 정한 우대기간까지 적용합니다."
KB_bank,대출,계좌간 자동이체 약관,10,질권의 목적인 예금 등의 표시 (단위 : 원),수입인지 붙이는 곳
KB_bank,대출,계좌간 자동이체 약관,11,담보권 설정,"① 이 약정에 의한 채무를 담보하기 위하여 제10조에 표시한 예금 등에 질권을 설정하고 은행 앞으로 그 증서(통장)의 인도를 마쳤습니다.
②  제1항에 의한 질권의 효력은 원금·수익권(이 계약 이후에 적립되는 금액을 포함합니다)과 이에 부수하는 이자·수익의 수익권, 특별장려금, 법정장려금 등에 미칩니다.
③  예금 등이 기한연장·개서(새로씀)·갱신·분할·병합·증액·감액 또는 이자가 원금에 가산된 경우에도 그 위에 질권의 효력이 미침을 승인하며, 그 목적인 신탁이 기
간연장되거나 연체로 말미암아 자동연장처리된 경우에 있어서도 그에 대한 수익권 위에 효력이 미침을 승인합니다.
④ 은행은 제1항에 의한 질권을 행사하지 아니하고 은행여신거래기본약관(가계용)의 정하는 바에 따라 은행의 채권과 제10조에 표시한 예금 등을 상계할 수 있습니다.
⑤  적립식예금 관련 대출인 경우 은행은 대출금이자 및 제1항의 질권의 목적인 관련 예금 등의 월적립금이 6개월(적립식신탁대출의 경우 4회)이상 납입지체된 때에는 대출
기간 만료일 이전이더라도 통지에 의해 담보예금 등과 대출금을 상계할 수 있습니다."
KB_bank,대출,계좌간 자동이체 약관,12,"담보, 보험 및 추가담보 제공","①  본인은 은행의 대출을 받아 건설 또는 구입하는 시설물과 건물(대출 받은 토지 위에 건설하는 시설물, 건물 포함)은 건설도중이나 건설완료 후에도 은행의 승인 없이 그
소유권 이전행위, 저당권, 지상권(타인의 토지에 건물, 기타의 공작물을 세우거나 수목을 심어 소유하려는 목적으로 그 토지를 사용할 수 있는 권리), 전세권, 가등기, 임
차권 등 각종 권리의 설정행위를 하지 않겠으며, 제3자로부터 은행의 권리가 침해되는 일이 없기로 하며, 동 시설물과 건물은 토지와 함께 은행에 담보로 제공하기로 하
며, 은행이 요청하는 경우 은행이 동의하는 종류와 금액의 보험에 가입하고, 그 보험금 청구권에 은행을 위하여 질권설정하기로 합니다.
② 본인이 담보로 제공할 토지에 대하여 지적공부 및 등기부정리가 완료되지 아니한 경우에 해당 토지의 지적정리 완료 후에도 제1항을 준용하기로 합니다.
③ 본인이 담보로 제공한 담보물의 담보가치가 감소(후취담보취득을 할 때 포함)한 경우에는 은행여신거래기본약관(가계용) 제6조(담보의제공)에 따르기로 합니다."
KB_bank,대출,계좌간 자동이체 약관,13,대출금 상환 또는 채무인수 의무,"① 대출을 받은 후 해당 시설물과 건물 또는 토지의 소유권을 이전한 경우에는 은행이 인정하는 양수인으로 하여금 채무를 인수하게 하거나 대출금 전액을 상환합니다.
② 이 약정에 의한 전세자금대출을 받은 후 임대차계약이 종료되어 새로운 임대차 계약이 체결되지 아니한 경우에는 은행의 요구에 의하여 곧 대출금 전액을 상환합니다."
KB_bank,대출,계좌간 자동이체 약관,14,기한연장,"① 대출기간이 만료된 때 은행이 정한 방법에 따라 기한연장되거나, 연장에 따른 대출이자율이 변경된 때에도 계속하여 이 약정에 따르기로 합니다.
②  은행이 정한 기준에 따라 자동연장조건에 일치할 경우, 은행은 “기한연장 및 금리변경”에 관하여 별도의 약정서 등을 받지 아니하고 은행이 정하는 기준에 따라 기한연장
및 금리변경 처리하기로 하며, 은행은 기한연장된 대출금의 이자율과 새로운 대출기간 만료일 등을 연장 후 10일 이내에 유선 또는 서면으로 통지하기로 합니다.
③  제2항에 따라 변경된 이자율에 이의가 있을 때는 변경일로부터 1개월이내에 본 약정을 해지할 수 있으며, 이 경우 해지일 까지는 변경전 대출이자율을 적용하기로 하고
해당 해지로 인하여 발생한 은행에 대한 상환채무이행을 지체하는 경우 지연배상금률을 적용하기로 합니다. 또한 동 기한내에 이의제기를 하지 않을 경우에는 변경된 내
용에 동의한 것으로 봅니다."
KB_bank,대출,계좌간 자동이체 약관,15,인지세의 부담,"① 이 약정서 작성에 따른 인지세는 각 50%씩 본인과 은행이 부담합니다.
② 제1항에 의하여 본인이 부담하기로 한 인지세를 은행이 대신 지급한 경우에는 은행여신거래기본약관(가계용) 제4조에 준하여 갚기로 합니다."
KB_bank,대출,계좌간 자동이체 약관,16,대출실행 중단,"은행은 대출계약 체결 후 대출실행 전에 차주에게 대출 증가, 연체 발생, 신용등급 하락 등 차주의 신용위험, 상환능력이 악화되거나 차주가 제공한 정보의 내용이 달라져
대출 실행에 중대한 영향을 미치는 경우 대출을 실행하지 않을 수 있습니다."
KB_bank,대출,계좌간 자동이체 약관,17,은행여신거래기본약관(가계용)의 적용,"본 약정서에 추가하여 은행여신거래기본약관(가계용)이 적용됩니다. 추후 은행여신거래기본약관이 변경될 경우에는 변경된 바에 따릅니다.
고 객 용
※  제3조 기타 특약사항 별도 기재란
[자동이체 ( 신청   미신청)]
본인은 대출신청을 함에 있어 아래의 계좌간 자동이체약관을 승인하며, 아래와 같이 자동이체를 신청합니다.
계좌간 자동이체 약관"
KB_bank,대출,계좌간 자동이체 약관,1,자동이체 방법,"이체합니다. 다만, 입금계좌가 퇴직연금인 경우에는 18시 전 입금분에 한해 입금계좌로 이체합니다.
② 지정일이 영업일이 아닌 때는 그 다음 영업일에 이체합니다. 다만, 정기예금 및 신탁 월지급 이자는 그 전 영업일에 이체합니다.
③ 통장자동대출 약정을 체결한 경우에는 대출금액을 포함하여 이체합니다. 다만, 고객이 따로 요청하는 경우에는 예금잔액 이내에서만 이체할 수 있습니다."
KB_bank,대출,계좌간 자동이체 약관,2,지급자금 부족 때의 처리,"다만, 이체주기를 매 영업일로 정하는 경우 해당 이체 지정일에 출금계좌의 지급자금이 이체금액에 미달하면 부족자금이 채워지는 날에도 이체되지 않습니다.
② 제1항에 불구하고, 입금계좌가 대출계좌, 집합투자기구(펀드), 퇴직연금인 경우에는 별도로 정한 바에 따릅니다."
KB_bank,대출,계좌간 자동이체 약관,6,이체일 및 이체금액 미지정때 처리,대상거래가 발생했을 때 이체합니다.
KB_bank,대출,개인정보 안내문,7,은행의 자동이체 임의해지,등록을 해지한 것으로 보지 않습니다.
